9,1.8,9,11,2069
7,1.4,8,10,2067
7,1.4,40,56,2095
10,2,54,66,2121
18,3.6,76,93,163
14,2.8,76,93,172
7,1.4,62,73,110
2,0.4,43,51,60
2,0.4,51,59,36
3,0.6,68,77,44
3,0.6,93,107,100
7,1.4,254,416,566
9,1.8,605,919,1010
11,2.2,823,1398,1660
10,2,1161,1809,1696
10,2,1519,2420,2560
8,1.6,1318,2054,2226
8,1.6,1455,2302,2220
6,1.2,1231,1915,1900
3,0.6,781,1174,1086
2,0.4,569,859,876
1,0.2,8728,12534,2048
1,0.2,8728,12534,2048
1,0.2,8728,12534,2048
1,0.2,8728,12534,2048
1,0.2,8728,12534,2048
1,0.2,8728,12534,2048
1,0.2,8728,12534,2048
1,0.2,8728,12534,2048
1,0.2,9045,12288,2048
1,0.2,221600,297888,4080
